"storage_key","title","artist","youtube","source"
"song_canta_canta_minha_gente","Canta canta minha gente","Martinho da Vila","https://www.youtube.com/watch?v=FxQB1FYLu5k","letras"
"song_carnavália","Carnavália","Tribalistas","https://www.youtube.com/watch?v=Dx5Lm13eLm8","letras"
"song_casa_de_samba_(no_meu_canto)","Casa de Bamba","Martinho da Villa","https://www.youtube.com/watch?v=Dx5Lm13eLm8","letras"
"song_chega_de_saudade","Chega de saudade","João Gilberto","https://www.youtube.com/watch?v=QTTnL5EllD8","letras"
"song_conselho","Conselho","Almir Guineto","https://www.youtube.com/watch?v=CTIvQ4KGtKM","letras"
"song_deixa_a_vida_me_levar","Deixa a vida me levar","Zeca Pagodinho","https://www.youtube.com/watch?v=oTREAvZbmME","letras"
"song_doce_refúgio","Doce refúgio","Fundo de Quintal","https://www.youtube.com/watch?v=IZSVMni4xOo","letras"
"song_espelho","Espelho","João Nogueira","https://www.youtube.com/watch?v=BEVX5Aum85A","letras"
"song_falsa_consideração","Falsa consideração","Jorge Aragão","https://www.youtube.com/watch?v=aC1QBmYVMCc","letras"
"song_feitiço_da_vila","Feitiço da vila","Noel Rosa","https://www.youtube.com/watch?v=aC1QBmYVMCc","letras"
"song_folhas_secas","Folhas secas","Nelson Cavaquinho","https://www.youtube.com/watch?v=oSf5GVv7lvQ","letras"
"song_malandro","Malandro","Jorge Aragão","https://www.youtube.com/watch?v=PLjXaoceEY8","letras"
"song_maneiras","Maneiras","Zeca Pagodinho","https://www.youtube.com/watch?v=hHutLqLE0iU","letras"
"song_não_deixe_o_samba_morrer","Não deixe o samba morrer","Alcione","https://www.youtube.com/watch?v=sy-DPcwWRXM","letras"
"song_o_mundo_é_um_moinho","O mundo é um moinho","Cartola","https://www.youtube.com/watch?v=ud9PlROstDw","letras"
"song_o_show_tem_que_continuar","O show tem que continuar","Fundo de Quintal","https://www.youtube.com/watch?v=c3i7WCrnMEI","letras"
"song_país_tropical","País tropical","Jorge Ben Jor","https://www.youtube.com/watch?v=qkdbFsSIGSI","letras"
"song_pé_na_areia","Pé na areia","Diogo Nogueira","https://www.youtube.com/watch?v=h8PQQvNn6aI","letras"
"song_velha_infância","Velha infância","Tribalistas","https://www.youtube.com/watch?v=iyJDuJggiEM","letras"
"song_vou_festejar","Vou festejar","Jorge Aragão / Beth Carvalho","https://www.youtube.com/watch?v=iyJDuJggiEM","letras"
"song_a_batucada_dos_nossos_tantãs","A batucada dos nossos tantãs","Exaltasamba","https://www.youtube.com/watch?v=q1KjtnE5WSw","youtube-search"
"song_a_chuva_cai","A chuva cai","Beth Carvalho","https://www.youtube.com/watch?v=oat-SVnv6GA","youtube-search"
"song_a_cigana_leu_o_meu_destino_(o_amanhã)","A cigana leu o meu destino (o amanhã)","Simone","https://www.youtube.com/watch?v=pvgTisKJw2M","youtube-search"
"song_acreditar_eu_não","Acreditar eu não","Dona Ivone Lara","https://www.youtube.com/watch?v=8mQliNTA_2k","youtube-search"
"song_ai_tem_std","Ai tem std","","https://www.youtube.com/watch?v=DzQfSIESZls","youtube-search"
